40.0 	 0.0 	25.0	0.1138 	0.7353 	0.0586 	0.0923 	0.8277 	0.3457	0.04463	0.04504	0.05096	0.05142	0.08333	0.08411	0.08989	0.09072	0.16743	0.16919	0.20159	0.24913	0.25181	0.28611	
41.0 	 0.0 	25.0	0.1131 	0.7326 	0.0607 	0.0936 	0.8262 	0.3472	0.04446	0.04487	0.05076	0.05121	0.08302	0.08380	0.08955	0.09038	0.16673	0.16849	0.20074	0.24817	0.25084	0.28500	
42.0 	 0.0 	25.0	0.1124 	0.7300 	0.0628 	0.0947 	0.8247 	0.3487	0.04430	0.04470	0.05056	0.05101	0.08273	0.08350	0.08922	0.09005	0.16609	0.16782	0.19995	0.24726	0.24991	0.28396	
43.0 	 0.0 	25.0	0.1119 	0.7275 	0.0649 	0.0957 	0.8232 	0.3502	0.04414	0.04454	0.05038	0.05083	0.08244	0.08321	0.08890	0.08973	0.16547	0.16720	0.19922	0.24640	0.24903	0.28298	
44.0 	 0.0 	25.0	0.1114 	0.7249 	0.0671 	0.0967 	0.8216 	0.3518	0.04399	0.04438	0.05020	0.05065	0.08216	0.08292	0.08860	0.08942	0.16490	0.16661	0.19854	0.24557	0.24819	0.28206	
45.0 	 0.0 	25.0	0.1109 	0.7224 	0.0692 	0.0975 	0.8199 	0.3534	0.04384	0.04423	0.05003	0.05047	0.08188	0.08264	0.08830	0.08912	0.16435	0.16605	0.19790	0.24477	0.24738	0.28119	
46.0 	 0.0 	25.0	0.1105 	0.7199 	0.0713 	0.0983 	0.8182 	0.3551	0.04369	0.04409	0.04987	0.05031	0.08161	0.08236	0.08801	0.08882	0.16383	0.16552	0.19731	0.24401	0.24660	0.28037	
47.0 	 0.0 	25.0	0.1102 	0.7174 	0.0734 	0.0990 	0.8165 	0.3568	0.04355	0.04394	0.04971	0.05015	0.08134	0.08209	0.08773	0.08854	0.16333	0.16501	0.19677	0.24327	0.24585	0.27958	
48.0 	 0.0 	25.0	0.1099 	0.7149 	0.0755 	0.0997 	0.8146 	0.3585	0.04341	0.04380	0.04956	0.04999	0.08107	0.08182	0.08745	0.08826	0.16286	0.16453	0.19626	0.24255	0.24512	0.27884	
49.0 	 0.0 	25.0	0.1097 	0.7124 	0.0776 	0.1003 	0.8127 	0.3602	0.04327	0.04366	0.04941	0.04985	0.08080	0.08155	0.08718	0.08798	0.16241	0.16407	0.19579	0.24186	0.24441	0.27814	
